state,year,below_poverty_line_percent,median_household_income,mean cash public assistance income (dollars)
illinois,2016,0.17539267015706805,0.4872122607951188,0.2960702022128958
illinois,2017,0.16230366492146597,0.5117266161025431,0.2747043113315528
illinois,2018,0.1518324607329843,0.5400151933535108,0.25391072109881724
illinois,2019,0.13612565445026178,0.5678817330069575,0.24093857306371613
illinois,2020,0.12303664921465968,0.5985337208040419,0.2609690957649752
illinois,2021,0.11780104712041886,0.64839444839686,0.384586035864174
illinois,2022,0.11780104712041886,0.7191761826096393,0.43838229683326974
indiana,2010,0.16230366492146597,0.34855482268391796,0.19896985883250667
indiana,2011,0.17801047120418848,0.3569473417660465,0.24608927890118276
indiana,2012,0.19371727748691098,0.35671823564167804,0.2743227775658146
indiana,2013,0.21204188481675396,0.355198900290603,0.29702403662724153
indiana,2014,0.21465968586387432,0.3610953684388226,0.292064097672644
indiana,2015,0.21204188481675396,0.36734152488213095,0.25505532239603207
indiana,2016,0.20157068062827224,0.3815461045929749,0.23884013735215567
indiana,2017,0.19109947643979056,0.4026359262519444,0.22491415490270888
indiana,2018,0.17801047120418848,0.4284766854372912,0.22128958412819535
indiana,2019,0.15968586387434555,0.45232783880575417,0.2231972529568867
indiana,2020,0.14659685863874347,0.47562431418890405,0.23864937046928653
indiana,2021,0.13612565445026178,0.52034824130904,0.3088515833651278
indiana,2022,0.13089005235602097,0.5834006583786522,0.3559710034338039
iowa,2010,0.112565445026178,0.3627232277435458,0.2575352918733308
iowa,2011,0.12041884816753927,0.3817631525002713,0.29091949637542924
iowa,2012,0.1282722513089005,0.3899386236751034,0.30351011064479205
iowa,2013,0.13350785340314136,0.39854819066452835,0.2979778710415872
iowa,2014,0.13874345549738218,0.4090750141684051,0.28443342235787866
iowa,2015,0.13612565445026178,0.41470620154104015,0.22453262113697062
iowa,2016,0.13089005235602097,0.4314309486199371,0.2029759633727585
iowa,2017,0.12303664921465968,0.45554738276398454,0.1816100724914155
iowa,2018,0.11518324607329841,0.4797843990787522,0.17569629912247234
iowa,2019,0.10994764397905758,0.5032135148496943,0.18256390690576116
iowa,2020,0.09947643979057591,0.5190459538652615,0.21003433803891644
iowa,2021,0.09685863874345549,0.5623711278050427,0.27298740938573063
iowa,2022,0.09947643979057591,0.6243744799893888,0.30732544830217473
kansas,2010,0.13350785340314136,0.36937936356730294,0.21747424647081268
kansas,2011,0.13874345549738218,0.3834874775415707,0.2665013353681801
kansas,2012,0.15445026178010468,0.3916750069334748,0.29549790156428846
kansas,2013,0.1675392670157068,0.39238644174072423,0.3222052651659672
kansas,2014,0.17015706806282724,0.39889787895961704,0.32926363983212514
kansas,2015,0.16492146596858637,0.4029132652446009,0.29912247233880196
kansas,2016,0.15706806282722513,0.41938478976498533,0.26230446394505913
kansas,2017,0.14397905759162305,0.4423677515042626,0.22376955360549408
kansas,2018,0.13350785340314136,0.4658209837093487,0.19381915299504007
kansas,2019,0.12303664921465968,0.4920476058410003,0.1816100724914155
kansas,2020,0.10732984293193717,0.5100625821466038,0.24532621136970623
kansas,2021,0.10994764397905758,0.5514222667036452,0.3334605112552461
kansas,2022,0.112565445026178,0.6144385091220412,0.420259442960702
kentucky,2010,0.2722513089005235,0.2747464759860607,0.23464326592903473
kentucky,2011,0.28272251308900526,0.28284959785846064,0.27298740938573063
kentucky,2012,0.29581151832460734,0.2872146724385332,0.29931323922167113
kentucky,2013,0.3010471204188481,0.2923514729112153,0.2943533002670736
kentucky,2014,0.3036649214659685,0.2960412873352546,0.2941625333842045
kentucky,2015,0.3036649214659685,0.3008404577299201,0.2701259061426936
kentucky,2016,0.3010471204188481,0.3137548082140575,0.24952308279282717
kentucky,2017,0.28795811518324604,0.3345431744462264,0.22415108737123235
kentucky,2018,0.2774869109947643,0.35693528354897447,0.21842808088515833
kentucky,2019,0.2617801047120419,0.3834271864562106,0.22243418542541016
kentucky,2020,0.24345549738219896,0.4033111864079777,0.22586798931705457
kentucky,2021,0.23560209424083767,0.442090412511606,0.31209462037390306
kentucky,2022,0.23036649214659685,0.49911372104520624,0.37924456314383825
louisiana,2010,0.28272251308900526,0.2972832836936731,0.22739412438000764
louisiana,2011,0.29057591623036644,0.3050126008368403,0.2703166730255628
louisiana,2012,0.2984293193717277,0.3120907742581182,0.25906142693628387
louisiana,2013,0.3089005235602094,0.31451447588959497,0.26249523082792825
louisiana,2014,0.3219895287958115,0.31592528728702174,0.2569629912247234
louisiana,2015,0.32722513089005234,0.31660054744305505,0.23712323540633345
louisiana,2016,0.3246073298429319,0.3238957687716294,0.2396032048836322
louisiana,2017,0.3219895287958115,0.33665336243383054,0.24055703929797786
louisiana,2018,0.3167539267015706,0.35150908586656376,0.23311713086608166
louisiana,2019,0.31151832460732976,0.369921983335544,0.20164059519267455
louisiana,2020,0.29581151832460734,0.3859714702584076,0.24093857306371613
louisiana,2021,0.3010471204188481,0.41938478976498533,0.27985501716901945
louisiana,2022,0.2984293193717277,0.4710060170503189,0.31877146127432276
maine,2010,0.13874345549738218,0.3393423448408918,0.24284624189240747
maine,2011,0.14397905759162305,0.3509785243153947,0.2560091568103777
maine,2012,0.15706806282722513,0.35484921199551434,0.2642121327737505
maine,2013,0.16492146596858637,0.3576708347903679,0.2699351392598245
maine,2014,0.17277486910994763,0.36190326898264824,0.2502861503243037
maine,2015,0.17277486910994763,0.3682579493796047,0.19668065623807707
maine,2016,0.16230366492146597,0.3862849839022802,0.16615795497901564
maine,2017,0.14659685863874347,0.41278894502658836,0.14193056085463562
maine,2018,0.13612565445026178,0.44174072421651733,0.12457077451354445
maine,2019,0.11780104712041886,0.47180185937707253,0.14307516215185043
maine,2020,0.09947643979057591,0.4907453183972218,0.17417016405951927
maine,2021,0.09685863874345549,0.5352763140442054,0.23445249904616558
maine,2022,0.09424083769633508,0.5963994163822938,0.30618084700495996
maryland,2010,0.03403141361256544,0.6252909044868625,0.38057993132392215
maryland,2011,0.04450261780104712,0.6466580651384887,0.4252193819152995
maryland,2012,0.054973821989528805,0.6536518310402624,0.45020984357115607
maryland,2013,0.06544502617801048,0.6601512100420832,0.46451735978634107
maryland,2014,0.07068062827225131,0.6675187806730897,0.4381915299504006
maryland,2015,0.07068062827225131,0.6723661839360432,0.39450591377336897
maryland,2016,0.06806282722513089,0.6906464410172312,0.35749713849675696
maryland,2017,0.06282722513089004,0.7250003014554268,0.3126669210225105
maryland,2018,0.054973821989528805,0.7605961582520409,0.28271652041205647
maryland,2019,0.04973821989528794,0.7960111417925746,0.2676459366653949
maryland,2020,0.04450261780104712,0.8232385959412042,0.29072872949256007
