state,year,below_poverty_line_percent,median_household_income,mean cash public assistance income (dollars),"agriculture, forestry, fishing and hunting, and mining",construction,manufacturing,wholesale trade,retail trade,"transportation and warehousing, and utilities",information,"finance and insurance, and real estate and rental and leasing","professional, scientific, and management, and administrative and waste management services","educational services, and health care and social assistance","arts, entertainment, and recreation, and accommodation and food services","other services, except public administration",public administration,private wage and salary workers,government workers,self-employed in own not incorporated business workers,unpaid family workers
south dakota,2017,0.05759162303664921,0.1420257000799862,0.05932850057230065,0.040903540903540904,0.05477855477855477,0.03824666953158574,0.055944055944055944,0.059553349875930514,0.013647642679900741,0.01201923076923077,0.041758241758241756,0.0007930214115781098,0.050564819795589015,0.008502024291497974,0.006868131868131868,0.00866738894907909,0.14037433155080212,0.0688622754491018,0.14788732394366194,0.09999999999999999
south dakota,2018,0.05497382198952879,0.15156374978395695,0.07827801093730129,0.03968253968253969,0.05477855477855477,0.039535883111302114,0.055944055944055944,0.05707196029776675,0.014888337468982634,0.009615384615384614,0.04065934065934066,0.0011895321173671684,0.052716514254975796,0.008097165991902834,0.005494505494505499,0.008125677139761643,0.14438502673796785,0.06736526946107785,0.14084507042253522,0.09999999999999999
south dakota,2019,0.05061082024432809,0.158702214290595,0.07598880834287168,0.03846153846153847,0.052447552447552455,0.039106145251396655,0.055944055944055944,0.0554177005789909,0.017369727047146406,0.009615384615384614,0.04065934065934066,0.0023790642347343367,0.052716514254975796,0.008906882591093113,0.005494505494505499,0.00866738894907909,0.13903743315508008,0.07035928143712573,0.1443661971830986,0.15000000000000002
south dakota,2020,0.047993019197207686,0.1652176709151785,0.06753147653567342,0.03846153846153847,0.052447552447552455,0.03824666953158574,0.05361305361305361,0.05789909015715467,0.016129032258064516,0.009615384615384614,0.041758241758241756,0.0027755749405233916,0.05110274341043571,0.007692307692307694,0.006868131868131868,0.009750812567713976,0.13502673796791434,0.0778443113772455,0.14084507042253522,0.09999999999999999
south dakota,2021,0.045375218150087264,0.18139175941445299,0.09665522065369452,0.037851037851037855,0.052447552447552455,0.03867640739149119,0.05128205128205129,0.05872622001654259,0.017369727047146406,0.009615384615384614,0.04285714285714286,0.00317208564631245,0.05164066702528241,0.007692307692307694,0.006868131868131868,0.009209100758396531,0.13903743315508008,0.07335329341317363,0.14084507042253522,0.09999999999999999
south dakota,2022,0.04363001745200699,0.2036472087237181,0.11261604985374539,0.037851037851037855,0.052447552447552455,0.03867640739149119,0.04895104895104896,0.05707196029776675,0.01861042183622829,0.009615384615384614,0.04065934065934066,0.003568596352101505,0.054330285099515874,0.006882591093117406,0.006868131868131868,0.009209100758396531,0.13636363636363638,0.07634730538922155,0.1443661971830986,0.09999999999999999
tennessee,2010,0.08027923211169284,0.09856788575241265,0.051507058374666154,0.006105006105006105,0.05477855477855477,0.05457670820799313,0.06293706293706294,0.06203473945409429,0.04094292803970224,0.021634615384615384,0.028571428571428567,0.011102299762093574,0.03711672942442172,0.006882591093117406,0.013736263736263736,0.006500541711809315,0.15909090909090895,0.05838323353293411,0.1267605633802817,0.05
tennessee,2011,0.08376963350785338,0.10128098459361799,0.0658145745898512,0.006105006105006105,0.05128205128205129,0.05242801890846584,0.060606060606060615,0.06286186931348221,0.04094292803970224,0.021634615384615384,0.027472527472527472,0.011498810467882635,0.04034427111350188,0.007692307692307694,0.013736263736263736,0.007042253521126762,0.15909090909090895,0.059880239520958084,0.12323943661971833,0.05
tennessee,2012,0.08726003490401396,0.10188791485290984,0.07535291873330789,0.006105006105006105,0.047785547785547784,0.05070906746884401,0.05827505827505827,0.06286186931348221,0.039702233250620354,0.021634615384615384,0.026373626373626377,0.012291831879460745,0.04303388918773533,0.008502024291497974,0.013736263736263736,0.007583965330444202,0.16176470588235284,0.061377245508982034,0.11619718309859156,0.0
tennessee,2013,0.08987783595113437,0.10252298095203644,0.0791046674297342,0.006105006105006105,0.045454545454545456,0.04984959174903309,0.055944055944055944,0.06286186931348221,0.039702233250620354,0.021634615384615384,0.025274725274725275,0.013084853291038855,0.04464766003227542,0.008906882591093113,0.013736263736263736,0.008125677139761643,0.16176470588235284,0.06287425149700598,0.1091549295774648,0.0
